職缺名稱,職缺連結,公司名稱,工作地區,薪資待遇
大數據分析,https://www.104.com.tw/job/7qr2q?jobsource=jolist_c_relevance,杏豐實業股份有限公司,新北市三重區,待遇面議
大數據產品交付諮詢實習生,https://www.104.com.tw/job/7wpbv?jobsource=jolist_c_relevance,台北神策諮詢顧問有限公司,台北市中山區,時薪180~200元
AI 大數據科學家,https://www.104.com.tw/job/5x0ln?jobsource=jolist_c_relevance,昱峰智能大數據科技股份有限公司,台北市信義區,待遇面議
大數據部門商業分析師,https://www.104.com.tw/job/7k72g?jobsource=jolist_c_relevance,典通股份有限公司,台北市中正區,"月薪40,000~45,000元"
大數據部門研究員,https://www.104.com.tw/job/7k69c?jobsource=jolist_c_relevance,典通股份有限公司,台北市中正區,"月薪40,000~45,000元"
[DI] 大數據 工程師,https://www.104.com.tw/job/4jnp8?jobsource=jolist_c_relevance,動力安全資訊股份有限公司,台北市內湖區,"月薪30,000~40,000元"
【智慧製造發展中心】大數據平台開發工程師/顧問 (高雄),https://www.104.com.tw/job/7ycnv?jobsource=jolist_c_relevance,台灣恩悌悌數據股份有限公司,高雄市鼓山區,待遇面議
大數據部門數據工程師,https://www.104.com.tw/job/7763m?jobsource=jolist_c_relevance,典通股份有限公司,台北市中正區,"月薪43,000~50,000元"
大數據實施運維實習生,https://www.104.com.tw/job/7qh2r?jobsource=jolist_c_relevance,台北神策諮詢顧問有限公司,台北市中山區,時薪180~200元
【研究發展處】大數據資料處理工程師,https://www.104.com.tw/job/7bdre?jobsource=jolist_c_relevance,現觀科技股份有限公司,台北市中山區,"月薪35,000~55,000元"
產品業務,https://www.104.com.tw/job/6agkb?jobsource=jolist_c_relevance,大數據股份有限公司,台北市中山區,待遇面議
大數據分析人員,https://www.104.com.tw/job/6zvlo?jobsource=jolist_c_relevance,博揚機械有限公司,新北市樹林區,"月薪38,000~42,000元"
健康大數據部門 客戶成功管理師,https://www.104.com.tw/job/7o0dh?jobsource=jolist_c_relevance,典通股份有限公司,台北市中正區,"月薪40,000~45,000元"
大數據產品交付諮詢顧問,https://www.104.com.tw/job/6sxgk?jobsource=jolist_c_relevance,台北神策諮詢顧問有限公司,台北市中山區,待遇面議
【資訊】大數據分析人員,https://www.104.com.tw/job/6la7u?jobsource=jolist_c_relevance,群益金鼎證券股份有限公司,台北市松山區,待遇面議
【工業4.0／智慧製造】智能大數據整合工程師 (Python),https://www.104.com.tw/job/77jj5?jobsource=jolist_c_relevance,欣興電子股份有限公司,桃園市龜山區,"月薪32,000~70,000元"
量化與金融大數據工程師,https://www.104.com.tw/job/6vt43?jobsource=jolist_c_relevance,大拇哥證券投資顧問股份有限公司,台北市大安區,"年薪800,000~1,200,000元"
大數據分析實習生 (Healthcare Data Analyst Intern),https://www.104.com.tw/job/7x939?jobsource=jolist_c_relevance,群健科技股份有限公司,台北市中山區,時薪200~250元
健康大數據部門 客戶成功經理,https://www.104.com.tw/job/7vvlv?jobsource=jolist_c_relevance,典通股份有限公司,台北市中正區,待遇面議
大數據分析師,https://www.104.com.tw/job/7ykod?jobsource=jolist_c_relevance,中嘉數位股份有限公司,台北市內湖區,待遇面議
大數據應用專員，研究員(台北)，,https://www.104.com.tw/job/7pvry?jobsource=jolist_a_relevance,卓越國際大數據股份有限公司,台北市中山區,"月薪32,000元以上"
大數據技術顧問,https://www.104.com.tw/job/7lcgu?jobsource=jolist_a_relevance,亦思科技股份有限公司,台北市中山區,待遇面議
