職位,網址
AI 大數據科學家,https//www.104.com.tw/job/5x0ln?jobsource=jolist_b_relevance
大數據分析,https//www.104.com.tw/job/7qr2q?jobsource=jolist_b_relevance
【研究發展處】大數據資料處理工程師,https//www.104.com.tw/job/7bdre?jobsource=jolist_b_relevance
產品業務,https//www.104.com.tw/job/6agkb?jobsource=jolist_b_relevance
大數據分析人員,https//www.104.com.tw/job/6zvlo?jobsource=jolist_b_relevance
健康大數據部門 客戶成功管理師,https//www.104.com.tw/job/7o0dh?jobsource=jolist_b_relevance
大數據產品交付諮詢實習生,https//www.104.com.tw/job/7wpbv?jobsource=jolist_b_relevance
大數據部門數據工程師,https//www.104.com.tw/job/7763m?jobsource=jolist_b_relevance
大數據實施運維實習生,https//www.104.com.tw/job/7qh2r?jobsource=jolist_b_relevance
大數據部門商業分析師,https//www.104.com.tw/job/7k72g?jobsource=jolist_b_relevance
大數據部門研究員,https//www.104.com.tw/job/7k69c?jobsource=jolist_b_relevance
[DI] 大數據 工程師,https//www.104.com.tw/job/4jnp8?jobsource=jolist_b_relevance
健康大數據部門 客戶成功經理,https//www.104.com.tw/job/7vvlv?jobsource=jolist_b_relevance
【智慧製造發展中心】大數據平台開發工程師/顧問 (高雄),https//www.104.com.tw/job/7ycnv?jobsource=jolist_b_relevance
大數據及雲端處級主管,https//www.104.com.tw/job/7zqxf?jobsource=jolist_b_relevance
大數據產品實施/運維工程師,https//www.104.com.tw/job/6sw4i?jobsource=jolist_b_relevance
大數據平台應用工程師(.net),https//www.104.com.tw/job/7vqwm?jobsource=jolist_b_relevance
大數據產品交付諮詢顧問,https//www.104.com.tw/job/6sxgk?jobsource=jolist_b_relevance
【資訊】大數據分析人員,https//www.104.com.tw/job/6la7u?jobsource=jolist_b_relevance
【工業4.0／智慧製造】智能大數據整合工程師 (Python),https//www.104.com.tw/job/77jj5?jobsource=jolist_b_relevance
大數據應用專員，研究員(台北)，,https//www.104.com.tw/job/7pvry?jobsource=jolist_a_relevance
大數據技術顧問,https//www.104.com.tw/job/7lcgu?jobsource=jolist_a_relevance
量化與金融大數據工程師,https//www.104.com.tw/job/6vt43?jobsource=jolist_a_relevance
大數據分析實習生 (Healthcare Data Analyst Intern),https//www.104.com.tw/job/7x939?jobsource=jolist_a_relevance
大數據分析師,https//www.104.com.tw/job/7ykod?jobsource=jolist_a_relevance
資訊處-大數據工程師,https//www.104.com.tw/job/7lrpl?jobsource=jolist_a_relevance
人工智慧及大數據工程師,https//www.104.com.tw/job/5qcze?jobsource=jolist_a_relevance
大數據分析工程師/高級工程師 - 資訊中心,https//www.104.com.tw/job/7g54n?jobsource=jolist_a_relevance
資訊類-BI大數據分析主管,https//www.104.com.tw/job/7l1e6?jobsource=jolist_a_relevance
AI/大數據分析工程師(龍潭廠)_R66,https//www.104.com.tw/job/7ww70?jobsource=jolist_a_relevance
資深大數據分析人員,https//www.104.com.tw/job/7vw7a?jobsource=jolist_a_relevance
